# Assembly name:  CC00469
# Organism name:  Thomasclavelia ramosa DSM 1402 (firmicutes)
# Isolate:  CC00469
# Taxid:          445974
# BioSample:      SAMEA9956925
# BioProject:     PRJEB45397
# Submitter:      MONASH INSTITUTE OF MEDICAL RESEARCH - MONASH UNIVERSITY
# Date:           2024-08-29
# Assembly type:  na
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    CAXTKX01
# Assembly method: SPAdes
# Genome coverage: 41x
# Sequencing technology: NextSeq 2000
# GenBank assembly accession: GCA_964245115.1
# RefSeq assembly accession: GCF_964245115.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_964245114.1	GCF_964245114.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
CC00469_11_NODE_11_length_127686_cov_229.496783	unplaced-scaffold	na	na	CAXTKX010000011.1	=	NZ_CAXTKX010000011.1	Primary Assembly	127686	na
CC00469_12_NODE_12_length_119937_cov_241.774604	unplaced-scaffold	na	na	CAXTKX010000012.1	=	NZ_CAXTKX010000012.1	Primary Assembly	119937	na
CC00469_13_NODE_13_length_116378_cov_170.241847	unplaced-scaffold	na	na	CAXTKX010000013.1	=	NZ_CAXTKX010000013.1	Primary Assembly	116378	na
CC00469_14_NODE_14_length_112534_cov_223.579848	unplaced-scaffold	na	na	CAXTKX010000014.1	=	NZ_CAXTKX010000014.1	Primary Assembly	112534	na
CC00469_15_NODE_15_length_111388_cov_240.912515	unplaced-scaffold	na	na	CAXTKX010000015.1	=	NZ_CAXTKX010000015.1	Primary Assembly	111388	na
CC00469_16_NODE_16_length_86720_cov_201.621562	unplaced-scaffold	na	na	CAXTKX010000016.1	=	NZ_CAXTKX010000016.1	Primary Assembly	86720	na
CC00469_17_NODE_17_length_73156_cov_166.352222	unplaced-scaffold	na	na	CAXTKX010000017.1	=	NZ_CAXTKX010000017.1	Primary Assembly	73156	na
CC00469_18_NODE_18_length_68502_cov_202.402294	unplaced-scaffold	na	na	CAXTKX010000018.1	=	NZ_CAXTKX010000018.1	Primary Assembly	68502	na
CC00469_19_NODE_19_length_61983_cov_249.258149	unplaced-scaffold	na	na	CAXTKX010000019.1	=	NZ_CAXTKX010000019.1	Primary Assembly	61983	na
CC00469_20_NODE_20_length_52405_cov_479.626510	unplaced-scaffold	na	na	CAXTKX010000020.1	=	NZ_CAXTKX010000020.1	Primary Assembly	52405	na
CC00469_21_NODE_21_length_48958_cov_213.063706	unplaced-scaffold	na	na	CAXTKX010000021.1	=	NZ_CAXTKX010000021.1	Primary Assembly	48958	na
CC00469_22_NODE_22_length_47483_cov_252.461376	unplaced-scaffold	na	na	CAXTKX010000022.1	=	NZ_CAXTKX010000022.1	Primary Assembly	47483	na
CC00469_23_NODE_23_length_42365_cov_169.912552	unplaced-scaffold	na	na	CAXTKX010000023.1	=	NZ_CAXTKX010000023.1	Primary Assembly	42365	na
CC00469_24_NODE_24_length_39327_cov_238.949427	unplaced-scaffold	na	na	CAXTKX010000024.1	=	NZ_CAXTKX010000024.1	Primary Assembly	39327	na
CC00469_25_NODE_25_length_36767_cov_248.195312	unplaced-scaffold	na	na	CAXTKX010000025.1	=	NZ_CAXTKX010000025.1	Primary Assembly	36767	na
CC00469_26_NODE_26_length_25742_cov_230.964816	unplaced-scaffold	na	na	CAXTKX010000026.1	=	NZ_CAXTKX010000026.1	Primary Assembly	25742	na
CC00469_27_NODE_27_length_23885_cov_217.850050	unplaced-scaffold	na	na	CAXTKX010000027.1	=	NZ_CAXTKX010000027.1	Primary Assembly	23885	na
CC00469_28_NODE_28_length_23199_cov_400.386083	unplaced-scaffold	na	na	CAXTKX010000028.1	=	NZ_CAXTKX010000028.1	Primary Assembly	23199	na
CC00469_29_NODE_29_length_23090_cov_283.403989	unplaced-scaffold	na	na	CAXTKX010000029.1	=	NZ_CAXTKX010000029.1	Primary Assembly	23090	na
CC00469_30_NODE_30_length_20989_cov_389.734602	unplaced-scaffold	na	na	CAXTKX010000030.1	=	NZ_CAXTKX010000030.1	Primary Assembly	20989	na
CC00469_31_NODE_31_length_20515_cov_162.205255	unplaced-scaffold	na	na	CAXTKX010000031.1	=	NZ_CAXTKX010000031.1	Primary Assembly	20515	na
CC00469_32_NODE_32_length_16613_cov_220.125181	unplaced-scaffold	na	na	CAXTKX010000032.1	=	NZ_CAXTKX010000032.1	Primary Assembly	16613	na
CC00469_33_NODE_33_length_11410_cov_153.865878	unplaced-scaffold	na	na	CAXTKX010000033.1	=	NZ_CAXTKX010000033.1	Primary Assembly	11410	na
CC00469_34_NODE_34_length_10090_cov_112.632777	unplaced-scaffold	na	na	CAXTKX010000034.1	=	NZ_CAXTKX010000034.1	Primary Assembly	10090	na
CC00469_35_NODE_35_length_9784_cov_109.956629	unplaced-scaffold	na	na	CAXTKX010000035.1	=	NZ_CAXTKX010000035.1	Primary Assembly	9784	na
CC00469_36_NODE_36_length_9362_cov_84.447496	unplaced-scaffold	na	na	CAXTKX010000036.1	=	NZ_CAXTKX010000036.1	Primary Assembly	9362	na
CC00469_37_NODE_37_length_8916_cov_166.552551	unplaced-scaffold	na	na	CAXTKX010000037.1	=	NZ_CAXTKX010000037.1	Primary Assembly	8916	na
CC00469_38_NODE_38_length_7192_cov_56.088826	unplaced-scaffold	na	na	CAXTKX010000038.1	=	NZ_CAXTKX010000038.1	Primary Assembly	7192	na
CC00469_39_NODE_39_length_6236_cov_7454.508524	unplaced-scaffold	na	na	CAXTKX010000039.1	=	NZ_CAXTKX010000039.1	Primary Assembly	6236	na
CC00469_40_NODE_40_length_6188_cov_238.357388	unplaced-scaffold	na	na	CAXTKX010000040.1	=	NZ_CAXTKX010000040.1	Primary Assembly	6188	na
CC00469_41_NODE_41_length_5211_cov_4.558239	unplaced-scaffold	na	na	CAXTKX010000041.1	=	NZ_CAXTKX010000041.1	Primary Assembly	5211	na
CC00469_42_NODE_42_length_5031_cov_3777.662293	unplaced-scaffold	na	na	CAXTKX010000042.1	=	NZ_CAXTKX010000042.1	Primary Assembly	5031	na
CC00469_43_NODE_43_length_3490_cov_352.862584	unplaced-scaffold	na	na	CAXTKX010000043.1	=	NZ_CAXTKX010000043.1	Primary Assembly	3490	na
CC00469_44_NODE_44_length_1964_cov_362.793853	unplaced-scaffold	na	na	CAXTKX010000044.1	=	NZ_CAXTKX010000044.1	Primary Assembly	1964	na
CC00469_45_NODE_45_length_1751_cov_50.002987	unplaced-scaffold	na	na	CAXTKX010000045.1	=	NZ_CAXTKX010000045.1	Primary Assembly	1751	na
CC00469_46_NODE_46_length_1723_cov_106.992102	unplaced-scaffold	na	na	CAXTKX010000046.1	=	NZ_CAXTKX010000046.1	Primary Assembly	1723	na
CC00469_47_NODE_47_length_1350_cov_51.147683	unplaced-scaffold	na	na	CAXTKX010000047.1	=	NZ_CAXTKX010000047.1	Primary Assembly	1350	na
CC00469_48_NODE_48_length_1289_cov_49.556931	unplaced-scaffold	na	na	CAXTKX010000048.1	=	NZ_CAXTKX010000048.1	Primary Assembly	1289	na
CC00469_49_NODE_49_length_1236_cov_62.735116	unplaced-scaffold	na	na	CAXTKX010000049.1	=	NZ_CAXTKX010000049.1	Primary Assembly	1236	na
CC00469_50_NODE_50_length_865_cov_162.668782	unplaced-scaffold	na	na	CAXTKX010000050.1	=	NZ_CAXTKX010000050.1	Primary Assembly	865	na
CC00469_51_NODE_51_length_819_cov_999.462264	unplaced-scaffold	na	na	CAXTKX010000051.1	=	NZ_CAXTKX010000051.1	Primary Assembly	819	na
CC00469_52_NODE_52_length_781_cov_595.873580	unplaced-scaffold	na	na	CAXTKX010000052.1	=	NZ_CAXTKX010000052.1	Primary Assembly	781	na
CC00469_53_NODE_53_length_775_cov_56.985673	unplaced-scaffold	na	na	CAXTKX010000053.1	=	NZ_CAXTKX010000053.1	Primary Assembly	775	na
CC00469_54_NODE_54_length_672_cov_826.366942	unplaced-scaffold	na	na	CAXTKX010000054.1	=	NZ_CAXTKX010000054.1	Primary Assembly	672	na
CC00469_55_NODE_55_length_647_cov_1487.319298	unplaced-scaffold	na	na	CAXTKX010000055.1	=	NZ_CAXTKX010000055.1	Primary Assembly	647	na
CC00469_56_NODE_56_length_605_cov_644.607955	unplaced-scaffold	na	na	CAXTKX010000056.1	=	NZ_CAXTKX010000056.1	Primary Assembly	605	na
CC00469_57_NODE_57_length_604_cov_867.020873	unplaced-scaffold	na	na	CAXTKX010000057.1	=	NZ_CAXTKX010000057.1	Primary Assembly	604	na
CC00469_58_NODE_58_length_563_cov_947.508230	unplaced-scaffold	na	na	CAXTKX010000058.1	=	NZ_CAXTKX010000058.1	Primary Assembly	563	na
CC00469_59_NODE_59_length_514_cov_1169.205950	unplaced-scaffold	na	na	CAXTKX010000059.1	=	NZ_CAXTKX010000059.1	Primary Assembly	514	na
