# Assembly name:  ASM304964v1
# Organism name:  Metasolibacillus fluoroglycofenilyticus (firmicutes)
# Infraspecific name:  strain=cmg86
# Taxid:          1239396
# BioSample:      SAMN08796435
# BioProject:     PRJNA445714
# Submitter:      Virginia Polytechnic Institute and State University
# Date:           2018-04-11
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    PYWK01
# Assembly method: SPAdes v. 3.9.0
# Expected final version: no
# Genome coverage: 500x
# Sequencing technology: Illumina MiSeq
# Relation to type material: assembly from type material
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_003049645.1
# RefSeq assembly accession: GCF_003049645.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_003049655.1	GCF_003049655.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
NODE_11_length_7718_cov_93.6396_ID_21	unplaced-scaffold	na	na	PYWK01000011.1	=	NZ_PYWK01000011.1	Primary Assembly	7718	na
NODE_12_length_1754_cov_173.002_ID_23	unplaced-scaffold	na	na	PYWK01000012.1	=	NZ_PYWK01000012.1	Primary Assembly	1754	na
NODE_13_length_1585_cov_1321.92_ID_25	unplaced-scaffold	na	na	PYWK01000013.1	=	NZ_PYWK01000013.1	Primary Assembly	1585	na
NODE_14_length_1519_cov_1169.09_ID_27	unplaced-scaffold	na	na	PYWK01000014.1	=	NZ_PYWK01000014.1	Primary Assembly	1519	na
NODE_16_length_1328_cov_212.396_ID_31	unplaced-scaffold	na	na	PYWK01000015.1	=	NZ_PYWK01000015.1	Primary Assembly	1328	na
NODE_17_length_1042_cov_253.946_ID_33	unplaced-scaffold	na	na	PYWK01000016.1	=	NZ_PYWK01000016.1	Primary Assembly	1042	na
NODE_19_length_657_cov_321.434_ID_37	unplaced-scaffold	na	na	PYWK01000017.1	=	NZ_PYWK01000017.1	Primary Assembly	657	na
NODE_20_length_607_cov_512.535_ID_39	unplaced-scaffold	na	na	PYWK01000018.1	=	NZ_PYWK01000018.1	Primary Assembly	607	na
NODE_21_length_545_cov_1.05263_ID_41	unplaced-scaffold	na	na	PYWK01000019.1	=	NZ_PYWK01000019.1	Primary Assembly	545	na
NODE_23_length_489_cov_405.992_ID_45	unplaced-scaffold	na	na	PYWK01000020.1	=	NZ_PYWK01000020.1	Primary Assembly	489	na
NODE_29_length_458_cov_1.04834_ID_57	unplaced-scaffold	na	na	PYWK01000021.1	=	NZ_PYWK01000021.1	Primary Assembly	395	na
NODE_30_length_432_cov_1.07869_ID_59	unplaced-scaffold	na	na	PYWK01000022.1	=	NZ_PYWK01000022.1	Primary Assembly	432	na
NODE_31_length_430_cov_0.788779_ID_61	unplaced-scaffold	na	na	PYWK01000023.1	=	NZ_PYWK01000023.1	Primary Assembly	430	na
NODE_32_length_426_cov_1.17391_ID_63	unplaced-scaffold	na	na	PYWK01000024.1	=	NZ_PYWK01000024.1	Primary Assembly	345	na
NODE_33_length_411_cov_1.14789_ID_65	unplaced-scaffold	na	na	PYWK01000025.1	=	NZ_PYWK01000025.1	Primary Assembly	411	na
NODE_35_length_410_cov_1.05654_ID_69	unplaced-scaffold	na	na	PYWK01000026.1	=	NZ_PYWK01000026.1	Primary Assembly	410	na
NODE_36_length_402_cov_1.19273_ID_71	unplaced-scaffold	na	na	PYWK01000027.1	=	NZ_PYWK01000027.1	Primary Assembly	350	na
NODE_38_length_394_cov_0.689139_ID_75	unplaced-scaffold	na	na	PYWK01000028.1	=	NZ_PYWK01000028.1	Primary Assembly	374	na
NODE_39_length_394_cov_0.816479_ID_77	unplaced-scaffold	na	na	PYWK01000029.1	=	NZ_PYWK01000029.1	Primary Assembly	365	na
NODE_41_length_382_cov_0.803922_ID_81	unplaced-scaffold	na	na	PYWK01000030.1	=	NZ_PYWK01000030.1	Primary Assembly	382	na
NODE_42_length_378_cov_1.17928_ID_83	unplaced-scaffold	na	na	PYWK01000031.1	=	NZ_PYWK01000031.1	Primary Assembly	329	na
NODE_43_length_376_cov_1.15261_ID_85	unplaced-scaffold	na	na	PYWK01000032.1	=	NZ_PYWK01000032.1	Primary Assembly	376	na
NODE_46_length_372_cov_1.33061_ID_91	unplaced-scaffold	na	na	PYWK01000033.1	=	NZ_PYWK01000033.1	Primary Assembly	315	na
NODE_49_length_355_cov_185.662_ID_97	unplaced-scaffold	na	na	PYWK01000034.1	=	NZ_PYWK01000034.1	Primary Assembly	355	na
NODE_50_length_310_cov_164.426_ID_99	unplaced-scaffold	na	na	PYWK01000035.1	=	NZ_PYWK01000035.1	Primary Assembly	310	na
NODE_51_length_289_cov_88.8765_ID_101	unplaced-scaffold	na	na	PYWK01000036.1	=	NZ_PYWK01000036.1	Primary Assembly	289	na
NODE_52_length_275_cov_102.581_ID_103	unplaced-scaffold	na	na	PYWK01000037.1	=	NZ_PYWK01000037.1	Primary Assembly	275	na
NODE_53_length_268_cov_385.837_ID_105	unplaced-scaffold	na	na	PYWK01000038.1	=	NZ_PYWK01000038.1	Primary Assembly	268	na
NODE_54_length_255_cov_1101.98_ID_107	unplaced-scaffold	na	na	PYWK01000039.1	=	NZ_PYWK01000039.1	Primary Assembly	255	na
NODE_55_length_248_cov_91.5455_ID_109	unplaced-scaffold	na	na	PYWK01000040.1	=	NZ_PYWK01000040.1	Primary Assembly	248	na
NODE_56_length_242_cov_224.165_ID_111	unplaced-scaffold	na	na	PYWK01000041.1	=	NZ_PYWK01000041.1	Primary Assembly	242	na
NODE_57_length_236_cov_122.459_ID_113	unplaced-scaffold	na	na	PYWK01000042.1	=	NZ_PYWK01000042.1	Primary Assembly	236	na
NODE_58_length_232_cov_288.905_ID_115	unplaced-scaffold	na	na	PYWK01000043.1	=	NZ_PYWK01000043.1	Primary Assembly	232	na
